Counsel,s.1,s.1(1),s.1(2),s.1(3),s.1(4),s.1(5),s.1(7),s.1(a),s.1(b),s.1(c),s.1(e),s.1(h),s.1(i),s.1(j),s.1(l),s.1(s),s.10,s.10(1),s.10(2),s.10(3),s.10(4),s.10(5),s.10(a),s.10(b),s.10(c),s.11,s.11(1),s.11(2),s.11(5),s.11(6),s.11(7),s.11(a),s.11(b),s.11(c),s.11(d),s.11(e),s.11(f),s.11(g),s.11(h),s.11(i),s.11(n),s.12,s.12(1),s.12(2),s.12(3),s.12(4),s.12(6),s.12(9),s.13,s.13(1),s.13(2),s.13(3),s.13(4),s.13(5),s.13(b),s.13(c),s.13(g),s.14,s.14(1),s.14(2),s.14(4),s.14(5),s.14(a),s.14(b),s.14(c),s.14(d),s.14(e),s.15,s.15(1),s.15(2),s.15(3),s.15(4),s.15(5),s.16,s.16(1),s.16(2),s.16(3),s.16(4),s.16(6),s.16(9),s.16(a),s.17,s.17(1),s.17(2),s.17(4),s.17(5),s.17(7),s.17(a),s.18,s.18(1),s.18(2),s.18(3),s.18(6),s.18(b),s.18(c),s.19,s.19(1),s.19(2),s.19(3),s.19(4),s.19(a),s.19(c),s.2,s.2(1),s.2(2),s.2(3),s.2(5),s.2(a),s.2(b),s.2(c),s.2(d),s.2(e),s.2(f),s.2(g),s.2(i),s.2(j),s.2(n),s.2(q),s.2(r),s.20,s.20(1),s.20(2),s.20(3),s.20(5),s.20(6),s.21,s.21(1),s.21(2),s.21(3),s.21(5),s.22,s.22(1),s.22(2),s.22(3),s.22(4),s.22(6),s.22(a),s.23,s.23(1),s.23(2),s.23(3),s.24,s.24(1),s.24(2),s.24(3),s.25,s.25(1),s.25(2),s.25(3),s.25(4),s.25(a),s.26,s.26(1),s.26(2),s.26(3),s.26(8),s.27,s.27(1),s.27(2),s.27(3),s.27(5),s.28,s.28(1),s.28(3),s.28(6),s.29,s.29(1),s.29(2),s.29(3),s.29(4),s.3,s.3(1),s.3(2),s.3(3),s.3(6),s.3(a),s.3(b),s.3(c),s.3(d),s.3(g),s.3(j),s.3(p),s.3(r),s.30,s.30(1),s.30(2),s.30(3),s.30(5),s.30(6),s.31,s.31(1),s.31(2),s.31(4),s.32,s.32(1),s.33,s.33(1),s.33(2),s.34,s.34(1),s.34(2),s.34(3),s.34(6),s.35,s.35(1),s.35(2),s.35(3),s.35(4),s.35(a),s.4,s.4(1),s.4(2),s.4(3),s.4(4),s.4(5),s.4(6),s.4(a),s.4(b),s.4(c),s.4(e),s.4(g),s.4(h),s.4(j),s.5,s.5(1),s.5(2),s.5(3),s.5(4),s.5(5),s.5(6),s.5(7),s.5(a),s.5(b),s.5(d),s.5(i),s.5(l),s.5(m),s.6,s.6(1),s.6(2),s.6(3),s.6(4),s.6(5),s.6(8),s.6(a),s.6(h),s.7,s.7(1),s.7(2),s.7(3),s.7(4),s.7(5),s.7(6),s.7(a),s.7(b),s.7(c),s.7(e),s.7(f),s.7(g),s.8,s.8(1),s.8(2),s.8(3),s.8(6),s.8(a),s.8(b),s.8(c),s.8(d),s.9,s.9(1),s.9(2),s.9(3),s.9(4),s.9(5),s.9(7),s.9(a),s.9(b),s.9(c)
Aaron Christoff,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0
Abbas A. Kassam,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Bercovitch Sadinsky,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Bond,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Goldenberg,15,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,1,2,1,0,0,0,1,0,8,0,0,0,0,0,0,1,1,3,0,1,0,0,0,0,6,2,0,0,0,0,0,7,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,5,2,1,0,0,0,0,0,6,1,0,0,0,0,0,2,0,0,1,0,0,0,9,1,0,0,0,0,0,12,2,0,2,0,1,7,0,1,1,0,0,0,1,0,0,0,6,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,3,2,3,0,4,1,0,0,0,0,4,0,1,1,0,8,0,0,0,0,3,0,0,0,5,1,0,0,1,11,5,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,1,0,4,4,4,2,1,2,1,0,0,0,4,1,0,0,0,0,9,2,4,1,2,0,0,0,0,0,0,0,0,0,9,3,1,2,0,1,0,0,1,0,1,0,0,0,4,2,1,1,1,0,0,0,0,13,5,2,0,3,1,1,2,1,1,0,1,1,9,2,1,1,0,0,0,0,1,10,1,1,0,1,0,0,1,0,0
Adam H. Kanji,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Little,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,4,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Maerov,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Adam Weisberg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Williamson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
