Docket_Number,Case_Name,Intervenors_and_Counsel,SCC_Registry_URL
35201,Loyola High School v. Quebec (Attorney General),"[Intervener] Canadian Council of Christian Charities -> Barry W. Bussey, Derek Ross
[Intervener] Evangelical Fellowship of Canada -> Albertos Polizogopoulos, Don Hutchinson
[Intervener] Christian Legal Fellowship -> Robert E. Reynolds
[Intervener] World Sikh Organization of Canada -> Palbinder K. Shergill, Q.C., Balpreet Singh Boparai
[Intervener] Association of Christians Educators and Schools Canada -> Ian C. Moes, André Schutten
[Intervener] Canadian Civil Liberties Association -> Guy Du Pont, Jean-Philippe Groleau, Léon H. Moubayed
[Intervener] Catholic Civil Rights League, Association des parents catholiques du Québec, Faith and Freedom Alliance and Association de la communauté copte orthodoxe du grand Montréal -> Robert W. Staley, Ranjan K. Agarwal, Jack R. Maslen
[Intervener] Faith, Fealty and Creed Society -> Blake Bromley, Kathryn Chan, Thomas Slade, Eugene Meehan, Q.C.
[Intervener] Home School Legal Defence Association of Canada -> Jean-Yves Côté, Paul D. Farris
[Intervener] Seventh-day Adventist Church in Canada and Seventh-day Adventist Church - Quebec Conference -> Gerald D. Chipeur, Q.C., Sean Kelly, Grace Mackintosh
[Intervener] Corporation Archiépiscopale Catholique Romaine de Montréal and l'Archevêque Catholique Romain de Montréal -> Milton James Fernandes, Sergio G. Famularo",https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/14703/index.do
36017,R. v. Sanghera,No Intervenors found in this case.,https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/14705/index.do
35448,Quebec (Attorney General) v. Canada (Attorney General),"[Intervener] Contrôleur des armes à feu -> Éric Dufour, Hugo Jean, Suzanne-L. Gauthier, Bernard Roy
[Intervener] Coalition pour le contrôle des armes -> Alain M. Gaulin
[Intervener] Canada's National Firearms Association -> Guy Lavergne",https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/14713/index.do
35678,R. v. Nur,"[Intervener] Attorney General of Quebec -> Sylvain Leboeuf, Julie Dassylva, Gilles Laporte
[Intervener] Attorney General of British Columbia -> Rodney G. Garson
[Intervener] Attorney General of Alberta -> Joshua B. Hawkes, Q.C.
[Intervener] Pivot Legal Society -> Michael A. Feder, Adrienne Smith, Julia K. Lockhart
[Intervener] John Howard Society of Canada -> Bruce F. Simpson
[Intervener] Canadian Civil Liberties Association -> Jennifer McAleer, Kimberly Potter
[Intervener] British Columbia Civil Liberties Association -> Nader R. Hasan, Gerald Chan
[Intervener] Advocates' Society -> Anil K. Kapoor, Lindsay E. Trevelyan
[Intervener] Canadian Bar Association -> Eric V. Gottardi, Nikos Harris
[Intervener] Canada's National Firearms Association -> Solomon Friedman
[Intervener] Canadian Association for Community Living -> Joanna Birenbaum, Susan Chapman
[Intervener] African Canadian Legal Clinic -> Anthony Morgan, Faisal Mirza
[Intervener] Attorney General of Ontario -> Riun Shandler, Andreea Baiasu",https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/15272/index.do
35496,Mouvement laïque québécois v. Saguenay (City),"[Intervener] Human Rights Tribunal -> Louise Cadieux
[Intervener] Evangelical Fellowship of Canada -> Albertos Polizogopoulos, Stefan Cyr
[Intervener] Catholic Civil Rights League -> Robert W. Staley, Ranjan K. Agarwal, Jack R. Maslen
[Intervener] Faith and Freedom Alliance -> Robert W. Staley, Ranjan K. Agarwal, Jack R. Maslen
[Intervener] Association des parents catholiques du Québec -> Robert W. Staley, Ranjan K. Agarwal, Jack R. Maslen
[Intervener] Canadian Secular Alliance -> Tim A. Dickson
[Intervener] Canadian Civil Liberties Association -> J.R. Kristian Brabander",https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/15288/index.do
35424,Meredith v. Canada (Attorney General),"[Intervener] Attorney General of Ontario -> Robin K. Basu, Michael Dunn
[Intervener] Attorney General of British Columbia -> Jonathan G. Penner, Karen Horsman, Keith Evans
[Intervener] Attorney General for Saskatchewan -> Graeme G. Mitchell, Q.C.
[Intervener] Attorney General of Alberta -> Roderick Wiltshire
[Intervener] Canadian Labour Congress -> Steven Barrett
[Intervener] Professional Institute of the Public Service of Canada -> Fay Faraday
[Intervener] Canadian Union of Public Employees, Local 675 -> Annick Desjardins
[Intervener] Public Service Alliance of Canada -> Andrew Raven, Andrew Astritis, Morgan Rowe
[Intervener] Confédération des syndicats nationaux and Union of Canadian Correctional Officers -> Benoit Laurin, Éric Lévesque",https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/14576/index.do
35619,Association des parents de l’école Rose‑des‑vents v. British Columbia (Education),"[Intervener] Attorney General of the Northwest Territories -> François Baril, Guy Régimbald
[Intervener] Attorney General of the Yukon Territory -> Maxime Faille, Guy Régimbald, Pippa Lawson
[Intervener] Attorney General for Saskatchewan -> Alan F. Jacobson, Barbara C. Mysko
[Intervener] Attorney General of Alberta -> Randy Steele
[Intervener] Commissioner of Official Languages of Canada -> Christine Ruest Norrena, Rachel Guy, Isabelle Bousquet
[Intervener] Conseil scolaire francophone des Territoires du Nord-Ouest -> Mark C. Power, David P. Taylor, Robert Grant, c.r., Jean-Pierre Hachey
[Intervener] Fédération nationale des conseils scolaires francophones -> Roger J.F. Lepage, Q.C., Francis P. Poulin
[Intervener] Conseil des écoles fransaskoises -> Roger J.F. Lepage, Q.C., Francis P. Poulin
[Intervener] Commission scolaire francophone des Territoires du Nord-Ouest -> Roger J.F. Lepage, Q.C., Francis P. Poulin
[Intervener] Commission scolaire francophone du Yukon -> Roger J.F. Lepage, Q.C., Francis P. Poulin",https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/15305/index.do
35745,Henry v. British Columbia (Attorney General),"[Intervener] Attorney General of Ontario -> Hart Schwartz, Matthew Horner
[Intervener] Attorney General of Quebec -> Robert Desroches, Carole Soucy, Sagal Bachir Osman, Michel Déom, Amélie Dion
[Intervener] Attorney General of Nova Scotia -> Edward A. Gores, Q.C., James A. Gumpert, Q.C.
[Intervener] Attorney General of Saskatchewan -> Graeme G. Mitchell, Q.C.
[Intervener] Attorney General of New Brunswick -> Gaétan Migneault, Kathryn Gregory
[Intervener] Attorney General of Manitoba -> Michael Conner, Denis Guenette
[Intervener] Attorney General of Alberta -> Jolaine Antonio, Kate Bridgett
[Intervener] Attorney General of Newfoundland and Labrador -> Barbara Barrowman, Philip Osborne, Frances Knickle
[Intervener] Association in Defence of the Wrongly Convicted -> Sean Dewart, Tim Gleason
[Intervener] David Asper Centre for Constitutional Rights -> Marlys A. Edwardh, Frances Mahon
[Intervener] British Columbia Civil Liberties Association -> Marlys A. Edwardh
[Intervener] Canadian Civil Liberties Association -> Bradley E. Berg, Erin Hoult, Nickolas Tzoulas
[Intervener] Criminal Lawyers' Association -> Breese Davies, Richard Macklin, Neil Wilson
[Intervener] Canadian Association of Crown Counsel -> Paul J.J. Cavalluzzo",https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/15329/index.do
34948,Mounted Police Association of Ontario v. Canada (Attorney General),"[Intervener] Attorney General of Ontario -> Robin K. Basu, Michael Dunn
[Intervener] Attorney General of Saskatchewan -> Graeme G. Mitchell, Q.C., Katherine M. Roy
[Intervener] Attorney General of Alberta -> Roderick Wiltshire
[Intervener] Attorney General of British Columbia -> Jonathan G. Penner, Keith Evans, Karen Horsman
[Intervener] Association des membres de la police montée du Québec -> James R.K. Duggan, Alexander H. Duggan
[Intervener] Mounted Police Members' Legal Fund -> John D. R. Craig, Christopher D. Pigott
[Intervener] Confédération des syndicats nationaux -> Benoit Laurin, Éric Lévesque
[Intervener] Canadian Police Association -> Ian J. Roland, Michael Fenrick
[Intervener] Canadian Labour Congress -> Steven Barrett, Ethan Poskanzer
[Intervener] Canadian Civil Liberties Association -> Ranjan K. Agarwal, Ashley Paterson
[Intervener] Public Service Alliance of Canada -> Andrew Raven, Andrew Astritis, Morgan Rowe
[Intervener] British Columbia Civil Liberties Association -> Lindsay M. Lyster, Jessica L. Derynck",https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/14577/index.do
35411,R. v. Koczab,No Intervenors found in this case.,https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/13430/index.do
