NGO,Counsel,Weight
134553 Canada Inc.,Benoît Lapointe,1
134553 Canada Inc.,Maxime Nasr,1
"2311-5959 Québec Inc., Gaz-O-Pneus Inc.",Pierre Lessard,1
2429-7822 Québec Inc.,Simon Letendre,1
2627-3458 Québec Inc.,Claude A. Roy,1
2627-3458 Québec Inc.,Sylvain Beauregard,1
2944-4841 Québec Inc.,Charles Gosselin,1
9038-6095 Québec Inc.,Marcel Després,1
"9083-0670 Québec Inc., Gestion Ghislain Lallier Inc.",Claude A. Roy,1
"9083-0670 Québec Inc., Gestion Ghislain Lallier Inc.",Sylvain Beauregard,1
9098-0111 Québec Inc.,Guy Plourde,1
"9142-0935 Québec Inc., 9131-4716 Québec Inc., Groupe Denis Mongeau Inc.",Favrice Anglade Vil,1
"9142-0935 Québec Inc., 9131-4716 Québec Inc., Groupe Denis Mongeau Inc.",Marie-Geneviève Masson,1
"9142-0935 Québec Inc., 9131-4716 Québec Inc., Groupe Denis Mongeau Inc.",Michel Jolin,1
"AD IDEM/Canadian Media Lawyers Association, CTV, a Division of Bell Media Inc., Global News, a division of Corus Television Limited Partnership, Globe and Mail Inc. Postmedia Network Inc., Vice Studio Canada Inc.",David A. Crerar,1
"AD IDEM/Canadian Media Lawyers Association, CTV, a Division of Bell Media Inc., Global News, a division of Corus Television Limited Partnership, Globe and Mail Inc. Postmedia Network Inc., Vice Studio Canada Inc.",Iain A.C. MacKinnon,1
ADR Chambers Inc.,Andrew D. Little,1
ADR Chambers Inc.,Andrew Little,1
ADR Chambers Inc.,Andrew McDougall,1
ADR Chambers Inc.,Barry Leon,1
ADR Chambers Inc.,Charlotte Harman,2
ADR Chambers Inc.,Daniel Taylor,1
ADR Chambers Inc.,Michael A. Eizenga,1
ADR Chambers Inc.,Ranjan Agarwal,1
ADR Chambers Inc.,Ranjan K. Agarwal,1
AQAAD,Antoine Grondin-Couture,1
AQAAD,Ariane Gagnon-Rocque,1
AQAAD,Emmanuelle Arcand,1
AQAAD,Gabriel Babineau,3
AQAAD,Hugo Caissy,2
AQAAD,Jean-Guillaume Blanchette,1
AQAAD,Jean-Philippe Marcoux,1
AQAAD,Jean-Sébastien St-Amand Guinois,1
AQAAD,Julie Bolduc,1
AQAAD,Louis Belleau (AdE),1
AQAAD,Mairi Springate,1
AQAAD,Marie-Pier Boulet,1
AQAAD,Maude Cloutier,1
AQAAD,Maxime F. Raymond,1
AQAAD,Nicholas St-Jacques,1
AQAAD,Paul Charlebois,1
AQAAD,Pauline Lachance,1
AQAAD,Vincent R. Paquet,2
AQAAD,Éric Downs,1
ARPA Canada (Association for Reformed Political Action),Andre Schutten,1
"AWCEP Asian Women for Equality Society, operating as Asian Women Coalition Ending Prostitution",Christine Boyle (QC),1
"AWCEP Asian Women for Equality Society, operating as Asian Women Coalition Ending Prostitution",Gwendoline Allison,1
Aboriginal Legal Services,Caitlyn E. Kasper,3
Aboriginal Legal Services,Emilie Lahaie,1
Aboriginal Legal Services,Emilie N. Lahaie,1
Aboriginal Legal Services,Emily Hill,5
